keyword,cluster,target_url,action,note
"công ty xây nhà 5 tầng tphcm","type:nha-5-tang","/tin-tuc/xay-nha-5-tang-tron-goi-tphcm","write-handcraft","Loại nhà nhà 5 tầng — 1 URL, KW phụ: công ty"
"thi công nhà 5 tầng trọn gói tphcm","type:nha-5-tang","/tin-tuc/xay-nha-5-tang-tron-goi-tphcm","write-handcraft","Loại nhà nhà 5 tầng — 1 URL, KW phụ: trọn gói"
"xây 1 trệt 1 lầu trọn gói tphcm","type:1-tret-1-lau","/tin-tuc/xay-1-tret-1-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 1 lầu — 1 URL, KW phụ: trọn gói"
"xây 1 trệt 1 lầu trọn gói giá rẻ tphcm","type:1-tret-1-lau","/tin-tuc/xay-1-tret-1-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 1 lầu — 1 URL, KW phụ: giá rẻ"
"báo giá xây 1 trệt 1 lầu trọn gói tphcm","type:1-tret-1-lau","/tin-tuc/xay-1-tret-1-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 1 lầu — 1 URL, KW phụ: báo giá"
"chi phí xây 1 trệt 1 lầu tphcm","type:1-tret-1-lau","/tin-tuc/xay-1-tret-1-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 1 lầu — 1 URL, KW phụ: chi phí"
"đơn giá xây 1 trệt 1 lầu tphcm","type:1-tret-1-lau","/tin-tuc/xay-1-tret-1-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 1 lầu — 1 URL, KW phụ: đơn giá"
"nhà thầu xây 1 trệt 1 lầu tphcm","type:1-tret-1-lau","/tin-tuc/xay-1-tret-1-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 1 lầu — 1 URL, KW phụ: nhà thầu"
"công ty xây 1 trệt 1 lầu tphcm","type:1-tret-1-lau","/tin-tuc/xay-1-tret-1-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 1 lầu — 1 URL, KW phụ: công ty"
"thi công 1 trệt 1 lầu trọn gói tphcm","type:1-tret-1-lau","/tin-tuc/xay-1-tret-1-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 1 lầu — 1 URL, KW phụ: trọn gói"
"xây 1 trệt 2 lầu trọn gói tphcm","type:1-tret-2-lau","/tin-tuc/xay-1-tret-2-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 2 lầu — 1 URL, KW phụ: trọn gói"
"xây 1 trệt 2 lầu trọn gói giá rẻ tphcm","type:1-tret-2-lau","/tin-tuc/xay-1-tret-2-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 2 lầu — 1 URL, KW phụ: giá rẻ"
"báo giá xây 1 trệt 2 lầu trọn gói tphcm","type:1-tret-2-lau","/tin-tuc/xay-1-tret-2-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 2 lầu — 1 URL, KW phụ: báo giá"
"chi phí xây 1 trệt 2 lầu tphcm","type:1-tret-2-lau","/tin-tuc/xay-1-tret-2-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 2 lầu — 1 URL, KW phụ: chi phí"
"đơn giá xây 1 trệt 2 lầu tphcm","type:1-tret-2-lau","/tin-tuc/xay-1-tret-2-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 2 lầu — 1 URL, KW phụ: đơn giá"
"nhà thầu xây 1 trệt 2 lầu tphcm","type:1-tret-2-lau","/tin-tuc/xay-1-tret-2-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 2 lầu — 1 URL, KW phụ: nhà thầu"
"công ty xây 1 trệt 2 lầu tphcm","type:1-tret-2-lau","/tin-tuc/xay-1-tret-2-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 2 lầu — 1 URL, KW phụ: công ty"
"thi công 1 trệt 2 lầu trọn gói tphcm","type:1-tret-2-lau","/tin-tuc/xay-1-tret-2-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 2 lầu — 1 URL, KW phụ: trọn gói"
"xây 1 trệt 3 lầu trọn gói tphcm","type:1-tret-3-lau","/tin-tuc/xay-1-tret-3-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 3 lầu — 1 URL, KW phụ: trọn gói"
"xây 1 trệt 3 lầu trọn gói giá rẻ tphcm","type:1-tret-3-lau","/tin-tuc/xay-1-tret-3-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 3 lầu — 1 URL, KW phụ: giá rẻ"
"báo giá xây 1 trệt 3 lầu trọn gói tphcm","type:1-tret-3-lau","/tin-tuc/xay-1-tret-3-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 3 lầu — 1 URL, KW phụ: báo giá"
"chi phí xây 1 trệt 3 lầu tphcm","type:1-tret-3-lau","/tin-tuc/xay-1-tret-3-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 3 lầu — 1 URL, KW phụ: chi phí"
"đơn giá xây 1 trệt 3 lầu tphcm","type:1-tret-3-lau","/tin-tuc/xay-1-tret-3-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 3 lầu — 1 URL, KW phụ: đơn giá"
"nhà thầu xây 1 trệt 3 lầu tphcm","type:1-tret-3-lau","/tin-tuc/xay-1-tret-3-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 3 lầu — 1 URL, KW phụ: nhà thầu"
"công ty xây 1 trệt 3 lầu tphcm","type:1-tret-3-lau","/tin-tuc/xay-1-tret-3-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 3 lầu — 1 URL, KW phụ: công ty"
"thi công 1 trệt 3 lầu trọn gói tphcm","type:1-tret-3-lau","/tin-tuc/xay-1-tret-3-lau-tron-goi-tphcm","write-handcraft","Loại nhà 1 trệt 3 lầu — 1 URL, KW phụ: trọn gói"
"xây nhà trong hẻm trọn gói giá rẻ tphcm","type:trong-hem","/tin-tuc/xay-nha-trong-hem-tphcm","exists-fold","Loại nhà nhà trong hẻm — 1 URL, KW phụ: giá rẻ"
"báo giá xây nhà trong hẻm trọn gói tphcm","type:trong-hem","/tin-tuc/xay-nha-trong-hem-tphcm","exists-fold","Loại nhà nhà trong hẻm — 1 URL, KW phụ: báo giá"
"chi phí xây nhà trong hẻm tphcm","type:trong-hem","/tin-tuc/xay-nha-trong-hem-tphcm","exists-fold","Loại nhà nhà trong hẻm — 1 URL, KW phụ: chi phí"
"đơn giá xây nhà trong hẻm tphcm","type:trong-hem","/tin-tuc/xay-nha-trong-hem-tphcm","exists-fold","Loại nhà nhà trong hẻm — 1 URL, KW phụ: đơn giá"
"nhà thầu xây nhà trong hẻm tphcm","type:trong-hem","/tin-tuc/xay-nha-trong-hem-tphcm","exists-fold","Loại nhà nhà trong hẻm — 1 URL, KW phụ: nhà thầu"
"công ty xây nhà trong hẻm tphcm","type:trong-hem","/tin-tuc/xay-nha-trong-hem-tphcm","exists-fold","Loại nhà nhà trong hẻm — 1 URL, KW phụ: công ty"
"thi công nhà trong hẻm trọn gói tphcm","type:trong-hem","/tin-tuc/xay-nha-trong-hem-tphcm","exists-fold","Loại nhà nhà trong hẻm — 1 URL, KW phụ: trọn gói"
"xây nhà phố hiện đại trọn gói tphcm","type:nha-pho-hien-dai","/tin-tuc/xay-nha-pho-hien-dai-tron-goi-tphcm","write-handcraft","Loại nhà nhà phố hiện đại — 1 URL, KW phụ: trọn gói"
"xây nhà phố hiện đại trọn gói giá rẻ tphcm","type:nha-pho-hien-dai","/tin-tuc/xay-nha-pho-hien-dai-tron-goi-tphcm","write-handcraft","Loại nhà nhà phố hiện đại — 1 URL, KW phụ: giá rẻ"
"báo giá xây nhà phố hiện đại trọn gói tphcm","type:nha-pho-hien-dai","/tin-tuc/xay-nha-pho-hien-dai-tron-goi-tphcm","write-handcraft","Loại nhà nhà phố hiện đại — 1 URL, KW phụ: báo giá"
"chi phí xây nhà phố hiện đại tphcm","type:nha-pho-hien-dai","/tin-tuc/xay-nha-pho-hien-dai-tron-goi-tphcm","write-handcraft","Loại nhà nhà phố hiện đại — 1 URL, KW phụ: chi phí"
"đơn giá xây nhà phố hiện đại tphcm","type:nha-pho-hien-dai","/tin-tuc/xay-nha-pho-hien-dai-tron-goi-tphcm","write-handcraft","Loại nhà nhà phố hiện đại — 1 URL, KW phụ: đơn giá"
"nhà thầu xây nhà phố hiện đại tphcm","type:nha-pho-hien-dai","/tin-tuc/xay-nha-pho-hien-dai-tron-goi-tphcm","write-handcraft","Loại nhà nhà phố hiện đại — 1 URL, KW phụ: nhà thầu"
"công ty xây nhà phố hiện đại tphcm","type:nha-pho-hien-dai","/tin-tuc/xay-nha-pho-hien-dai-tron-goi-tphcm","write-handcraft","Loại nhà nhà phố hiện đại — 1 URL, KW phụ: công ty"
"thi công nhà phố hiện đại trọn gói tphcm","type:nha-pho-hien-dai","/tin-tuc/xay-nha-pho-hien-dai-tron-goi-tphcm","write-handcraft","Loại nhà nhà phố hiện đại — 1 URL, KW phụ: trọn gói"
"xây nhà mái thái trọn gói tphcm","type:mai-thai","/tin-tuc/xay-mai-thai-tron-goi-tphcm","write-handcraft","Loại nhà nhà mái thái — 1 URL, KW phụ: trọn gói"
"xây nhà mái thái trọn gói giá rẻ tphcm","type:mai-thai","/tin-tuc/xay-mai-thai-tron-goi-tphcm","write-handcraft","Loại nhà nhà mái thái — 1 URL, KW phụ: giá rẻ"
"báo giá xây nhà mái thái trọn gói tphcm","type:mai-thai","/tin-tuc/xay-mai-thai-tron-goi-tphcm","write-handcraft","Loại nhà nhà mái thái — 1 URL, KW phụ: báo giá"
"chi phí xây nhà mái thái tphcm","type:mai-thai","/tin-tuc/xay-mai-thai-tron-goi-tphcm","write-handcraft","Loại nhà nhà mái thái — 1 URL, KW phụ: chi phí"
"đơn giá xây nhà mái thái tphcm","type:mai-thai","/tin-tuc/xay-mai-thai-tron-goi-tphcm","write-handcraft","Loại nhà nhà mái thái — 1 URL, KW phụ: đơn giá"
"nhà thầu xây nhà mái thái tphcm","type:mai-thai","/tin-tuc/xay-mai-thai-tron-goi-tphcm","write-handcraft","Loại nhà nhà mái thái — 1 URL, KW phụ: nhà thầu"
"công ty xây nhà mái thái tphcm","type:mai-thai","/tin-tuc/xay-mai-thai-tron-goi-tphcm","write-handcraft","Loại nhà nhà mái thái — 1 URL, KW phụ: công ty"
"thi công nhà mái thái trọn gói tphcm","type:mai-thai","/tin-tuc/xay-mai-thai-tron-goi-tphcm","write-handcraft","Loại nhà nhà mái thái — 1 URL, KW phụ: trọn gói"
"xây nhà mái nhật trọn gói tphcm","type:mai-nhat","/tin-tuc/xay-mai-nhat-tron-goi-tphcm","write-handcraft","Loại nhà nhà mái nhật — 1 URL, KW phụ: trọn gói"
"xây nhà mái nhật trọn gói giá rẻ tphcm","type:mai-nhat","/tin-tuc/xay-mai-nhat-tron-goi-tphcm","write-handcraft","Loại nhà nhà mái nhật — 1 URL, KW phụ: giá rẻ"
"báo giá xây nhà mái nhật trọn gói tphcm","type:mai-nhat","/tin-tuc/xay-mai-nhat-tron-goi-tphcm","write-handcraft","Loại nhà nhà mái nhật — 1 URL, KW phụ: báo giá"
"chi phí xây nhà mái nhật tphcm","type:mai-nhat","/tin-tuc/xay-mai-nhat-tron-goi-tphcm","write-handcraft","Loại nhà nhà mái nhật — 1 URL, KW phụ: chi phí"
"đơn giá xây nhà mái nhật tphcm","type:mai-nhat","/tin-tuc/xay-mai-nhat-tron-goi-tphcm","write-handcraft","Loại nhà nhà mái nhật — 1 URL, KW phụ: đơn giá"
"nhà thầu xây nhà mái nhật tphcm","type:mai-nhat","/tin-tuc/xay-mai-nhat-tron-goi-tphcm","write-handcraft","Loại nhà nhà mái nhật — 1 URL, KW phụ: nhà thầu"
"công ty xây nhà mái nhật tphcm","type:mai-nhat","/tin-tuc/xay-mai-nhat-tron-goi-tphcm","write-handcraft","Loại nhà nhà mái nhật — 1 URL, KW phụ: công ty"
"thi công nhà mái nhật trọn gói tphcm","type:mai-nhat","/tin-tuc/xay-mai-nhat-tron-goi-tphcm","write-handcraft","Loại nhà nhà mái nhật — 1 URL, KW phụ: trọn gói"
"xây nhà phố 4x16 trọn gói tphcm","type:nha-pho-4x16","/tin-tuc/xay-nha-pho-4x16-tron-goi-tphcm","write-handcraft","Loại nhà nhà phố 4x16 — 1 URL, KW phụ: trọn gói"
"xây nhà phố 4x16 trọn gói giá rẻ tphcm","type:nha-pho-4x16","/tin-tuc/xay-nha-pho-4x16-tron-goi-tphcm","write-handcraft","Loại nhà nhà phố 4x16 — 1 URL, KW phụ: giá rẻ"
"báo giá xây nhà phố 4x16 trọn gói tphcm","type:nha-pho-4x16","/tin-tuc/xay-nha-pho-4x16-tron-goi-tphcm","write-handcraft","Loại nhà nhà phố 4x16 — 1 URL, KW phụ: báo giá"
"chi phí xây nhà phố 4x16 tphcm","type:nha-pho-4x16","/tin-tuc/xay-nha-pho-4x16-tron-goi-tphcm","write-handcraft","Loại nhà nhà phố 4x16 — 1 URL, KW phụ: chi phí"
"đơn giá xây nhà phố 4x16 tphcm","type:nha-pho-4x16","/tin-tuc/xay-nha-pho-4x16-tron-goi-tphcm","write-handcraft","Loại nhà nhà phố 4x16 — 1 URL, KW phụ: đơn giá"
"nhà thầu xây nhà phố 4x16 tphcm","type:nha-pho-4x16","/tin-tuc/xay-nha-pho-4x16-tron-goi-tphcm","write-handcraft","Loại nhà nhà phố 4x16 — 1 URL, KW phụ: nhà thầu"
